source_document,page_pdf,tableau_pdf,type_eau,milieu,parametre_pdf,parametre_code_propose,parametre_libelle_propose,famille_parametre,unite_pdf,classe_qualite,borne_min,operateur_min,borne_max,operateur_max,valeur_intervalle_originale,couleur_classe,indice_min,indice_max,confiance_extraction,commentaire_validation
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Manganèse (Mn),MN,Manganèse,metaux_lourds,mg/l,bonne,0.1,>=,0.5,<=,"0,1-0,5",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Manganèse (Mn),MN,Manganèse,metaux_lourds,mg/l,moyenne,0.5,>=,1,<=,"0,5-1",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Manganèse (Mn),MN,Manganèse,metaux_lourds,mg/l,mauvaise,1,>,,,>1,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Manganèse (Mn),MN,Manganèse,metaux_lourds,mg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Fluorure (F-),FLUORURE_F,Fluorure,micropolluants,mg/l,excellente,,,,,"0,7",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Fluorure (F-),FLUORURE_F,Fluorure,micropolluants,mg/l,bonne,0.7,>=,1,<=,"0,7-1",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Fluorure (F-),FLUORURE_F,Fluorure,micropolluants,mg/l,moyenne,1,>=,1.7,<=,"1-1,7",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Fluorure (F-),FLUORURE_F,Fluorure,micropolluants,mg/l,mauvaise,1.7,>,,,">1,7",rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Fluorure (F-),FLUORURE_F,Fluorure,micropolluants,mg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Hydrocarbures,HYDROCARBURES,Hydrocarbures,micropolluants,mg/l,excellente,,,,,"0,05",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Hydrocarbures,HYDROCARBURES,Hydrocarbures,micropolluants,mg/l,bonne,0.05,>=,0.2,<=,"0,05-0,2",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Hydrocarbures,HYDROCARBURES,Hydrocarbures,micropolluants,mg/l,moyenne,0.2,>=,1,<=,"0,2-1",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Hydrocarbures,HYDROCARBURES,Hydrocarbures,micropolluants,mg/l,mauvaise,1,>,,,>1,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Hydrocarbures,HYDROCARBURES,Hydrocarbures,micropolluants,mg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Phénols,PHENOLS,Phénols,micropolluants,mg/l,excellente,,,,,"0,001",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Phénols,PHENOLS,Phénols,micropolluants,mg/l,bonne,0.001,>=,0.005,<=,"0,001-0,005",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Phénols,PHENOLS,Phénols,micropolluants,mg/l,moyenne,0.005,>=,0.01,<=,"0,005-0,01",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Phénols,PHENOLS,Phénols,micropolluants,mg/l,mauvaise,0.01,>,,,">0,01",rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Phénols,PHENOLS,Phénols,micropolluants,mg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Détergents anioniques,DETERGENTS,Détergents anioniques,micropolluants,mg/l,excellente,,,,,"0,2",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Détergents anioniques,DETERGENTS,Détergents anioniques,micropolluants,mg/l,bonne,,,,,"0,2",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Détergents anioniques,DETERGENTS,Détergents anioniques,micropolluants,mg/l,moyenne,0.2,>=,0.5,<=,"0,2-0,5",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Détergents anioniques,DETERGENTS,Détergents anioniques,micropolluants,mg/l,mauvaise,0.5,>=,5,<=,"0,5-5",rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Détergents anioniques,DETERGENTS,Détergents anioniques,micropolluants,mg/l,tres_mauvaise,5,>,,,>5,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Arsenic (As),AS,Arsenic,metaux_lourds,µg/l,excellente,,,,,10,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Arsenic (As),AS,Arsenic,metaux_lourds,µg/l,bonne,,,,,10,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Arsenic (As),AS,Arsenic,metaux_lourds,µg/l,moyenne,10,>=,50,<=,10-50,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Arsenic (As),AS,Arsenic,metaux_lourds,µg/l,mauvaise,50,>,,,>50,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Arsenic (As),AS,Arsenic,metaux_lourds,µg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cadmium (Cd),CD,Cadmium,metaux_lourds,µg/l,excellente,,,,,3,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cadmium (Cd),CD,Cadmium,metaux_lourds,µg/l,bonne,,,,,3,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cadmium (Cd),CD,Cadmium,metaux_lourds,µg/l,moyenne,3,>=,5,<=,3-5,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cadmium (Cd),CD,Cadmium,metaux_lourds,µg/l,mauvaise,5,>,,,>5,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cadmium (Cd),CD,Cadmium,metaux_lourds,µg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cyanures (CN-),CN,Cyanures,micropolluants,µg/l,excellente,,,,,10,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cyanures (CN-),CN,Cyanures,micropolluants,µg/l,bonne,,,,,10,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cyanures (CN-),CN,Cyanures,micropolluants,µg/l,moyenne,10,>=,50,<=,10-50,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cyanures (CN-),CN,Cyanures,micropolluants,µg/l,mauvaise,50,>,,,>50,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cyanures (CN-),CN,Cyanures,micropolluants,µg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chrome total (Cr),CR,Chrome total,metaux_lourds,µg/l,excellente,,,,,50,bleu,80,100,moyenne,classe 3 identique visuellement aux classes 1 et 2
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chrome total (Cr),CR,Chrome total,metaux_lourds,µg/l,bonne,,,,,50,vert,60,80,moyenne,classe 3 identique visuellement aux classes 1 et 2
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chrome total (Cr),CR,Chrome total,metaux_lourds,µg/l,moyenne,,,,,50,orange/jaune,40,60,moyenne,classe 3 identique visuellement aux classes 1 et 2
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chrome total (Cr),CR,Chrome total,metaux_lourds,µg/l,mauvaise,50,>,,,>50,rouge/violet,20,40,moyenne,classe 3 identique visuellement aux classes 1 et 2
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chrome total (Cr),CR,Chrome total,metaux_lourds,µg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,classe 3 identique visuellement aux classes 1 et 2
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Plomb (Pb),PB,Plomb,metaux_lourds,µg/l,excellente,,,,,10,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Plomb (Pb),PB,Plomb,metaux_lourds,µg/l,bonne,,,,,10,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Plomb (Pb),PB,Plomb,metaux_lourds,µg/l,moyenne,10,>=,50,<=,10-50,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Plomb (Pb),PB,Plomb,metaux_lourds,µg/l,mauvaise,50,>,,,>50,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Plomb (Pb),PB,Plomb,metaux_lourds,µg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Mercure (Hg),HG,Mercure,metaux_lourds,µg/l,excellente,,,,,1,bleu,80,100,faible,"classe 3 visuellement notée <1, à confirmer; À vérifier"
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Mercure (Hg),HG,Mercure,metaux_lourds,µg/l,bonne,,,,,1,vert,60,80,faible,"classe 3 visuellement notée <1, à confirmer; À vérifier"
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Mercure (Hg),HG,Mercure,metaux_lourds,µg/l,moyenne,,,,,1,orange/jaune,40,60,faible,"classe 3 visuellement notée <1, à confirmer; À vérifier"
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Mercure (Hg),HG,Mercure,metaux_lourds,µg/l,mauvaise,1,>,,,>1,rouge/violet,20,40,faible,"classe 3 visuellement notée <1, à confirmer; À vérifier"
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Mercure (Hg),HG,Mercure,metaux_lourds,µg/l,tres_mauvaise,,,,,,violet/rouge,0,20,faible,"classe 3 visuellement notée <1, à confirmer; À vérifier"
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Nickel (Ni),NI,Nickel,metaux_lourds,µg/l,excellente,,,,,20,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Nickel (Ni),NI,Nickel,metaux_lourds,µg/l,bonne,,,,,20,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Nickel (Ni),NI,Nickel,metaux_lourds,µg/l,moyenne,20,>=,50,<=,20-50,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Nickel (Ni),NI,Nickel,metaux_lourds,µg/l,mauvaise,50,>,,,>50,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Nickel (Ni),NI,Nickel,metaux_lourds,µg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Selenium (Se),SELENIUM_SE,Sélénium,micropolluants,µg/l,excellente,,,,,10,bleu,80,100,moyenne,classe 3 visuellement identique aux classes 1 et 2
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Selenium (Se),SELENIUM_SE,Sélénium,micropolluants,µg/l,bonne,,,,,10,vert,60,80,moyenne,classe 3 visuellement identique aux classes 1 et 2
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Selenium (Se),SELENIUM_SE,Sélénium,micropolluants,µg/l,moyenne,,,,,10,orange/jaune,40,60,moyenne,classe 3 visuellement identique aux classes 1 et 2
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Selenium (Se),SELENIUM_SE,Sélénium,micropolluants,µg/l,mauvaise,10,>,,,>10,rouge/violet,20,40,moyenne,classe 3 visuellement identique aux classes 1 et 2
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Selenium (Se),SELENIUM_SE,Sélénium,micropolluants,µg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,classe 3 visuellement identique aux classes 1 et 2
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Pesticides par subst,PESTICIDES_PAR_SUBST,Pesticides par substance,micropolluants,µg/l,excellente,,,,,"0,1",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Pesticides par subst,PESTICIDES_PAR_SUBST,Pesticides par substance,micropolluants,µg/l,bonne,,,,,"0,1",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Pesticides par subst,PESTICIDES_PAR_SUBST,Pesticides par substance,micropolluants,µg/l,moyenne,,,,,"0,1",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Pesticides par subst,PESTICIDES_PAR_SUBST,Pesticides par substance,micropolluants,µg/l,mauvaise,0.1,>,,,">0,1",rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Pesticides par subst,PESTICIDES_PAR_SUBST,Pesticides par substance,micropolluants,µg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Pesticides totaux,PESTICIDES_TOTAUX,Pesticides totaux,micropolluants,µg/l,excellente,,,,,"0,5",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Pesticides totaux,PESTICIDES_TOTAUX,Pesticides totaux,micropolluants,µg/l,bonne,,,,,"0,5",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Pesticides totaux,PESTICIDES_TOTAUX,Pesticides totaux,micropolluants,µg/l,moyenne,,,,,"0,5",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Pesticides totaux,PESTICIDES_TOTAUX,Pesticides totaux,micropolluants,µg/l,mauvaise,0.5,>,,,">0,5",rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Pesticides totaux,PESTICIDES_TOTAUX,Pesticides totaux,micropolluants,µg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,H.P.A. totaux,H_P_A_TOTAUX,H.P.A. totaux,micropolluants,µg/l,excellente,,,,,"0,2",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,H.P.A. totaux,H_P_A_TOTAUX,H.P.A. totaux,micropolluants,µg/l,bonne,,,,,"0,2",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,H.P.A. totaux,H_P_A_TOTAUX,H.P.A. totaux,micropolluants,µg/l,moyenne,,,,,"0,2",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,H.P.A. totaux,H_P_A_TOTAUX,H.P.A. totaux,micropolluants,µg/l,mauvaise,0.2,>,,,">0,2",rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,H.P.A. totaux,H_P_A_TOTAUX,H.P.A. totaux,micropolluants,µg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Coliformes fécaux,CF,Coliformes fécaux,microbiologie,/100ml,excellente,,,,,20,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Coliformes fécaux,CF,Coliformes fécaux,microbiologie,/100ml,bonne,20,>=,2000,<=,20-2000,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Coliformes fécaux,CF,Coliformes fécaux,microbiologie,/100ml,moyenne,2000,>=,20.000,<=,2000-20.000,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Coliformes fécaux,CF,Coliformes fécaux,microbiologie,/100ml,mauvaise,20.000,>,,,>20.000,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Coliformes fécaux,CF,Coliformes fécaux,microbiologie,/100ml,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Coliformes totaux,CT,Coliformes totaux,microbiologie,/100ml,excellente,,,,,50,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Coliformes totaux,CT,Coliformes totaux,microbiologie,/100ml,bonne,50,>=,5000,<=,50-5000,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Coliformes totaux,CT,Coliformes totaux,microbiologie,/100ml,moyenne,5000,>=,50.000,<=,5000-50.000,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Coliformes totaux,CT,Coliformes totaux,microbiologie,/100ml,mauvaise,50.000,>,,,>50.000,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Coliformes totaux,CT,Coliformes totaux,microbiologie,/100ml,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Streptocoques fécaux,SF,Streptocoques fécaux,microbiologie,/100ml,excellente,,,,,20,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Streptocoques fécaux,SF,Streptocoques fécaux,microbiologie,/100ml,bonne,20,>=,1000,<=,20-1000,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Streptocoques fécaux,SF,Streptocoques fécaux,microbiologie,/100ml,moyenne,1000,>=,10.000,<=,1000-10.000,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Streptocoques fécaux,SF,Streptocoques fécaux,microbiologie,/100ml,mauvaise,10.000,>,,,>10.000,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Streptocoques fécaux,SF,Streptocoques fécaux,microbiologie,/100ml,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chlorophylle a,CHL_A,Chlorophylle a,biologique,µg/l,excellente,,,,,"2,5",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chlorophylle a,CHL_A,Chlorophylle a,biologique,µg/l,bonne,2.5,>=,10,<=,"2,5-10",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chlorophylle a,CHL_A,Chlorophylle a,biologique,µg/l,moyenne,10,>=,30,<=,10-30,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chlorophylle a,CHL_A,Chlorophylle a,biologique,µg/l,mauvaise,30,>=,110,<=,30-110,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chlorophylle a,CHL_A,Chlorophylle a,biologique,µg/l,tres_mauvaise,110,>,,,>110,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,12,Tableaux n°2/n°5 - Grilles simplifiées rivières,riviere,eaux de rivières,Température,T_EAU,Température,temperature,°C,excellente,0,>=,20,<=,0-20,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,12,Tableaux n°2/n°5 - Grilles simplifiées rivières,riviere,eaux de rivières,Température,T_EAU,Température,temperature,°C,bonne,20,>=,25,<=,20-25,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,12,Tableaux n°2/n°5 - Grilles simplifiées rivières,riviere,eaux de rivières,Température,T_EAU,Température,temperature,°C,moyenne,25,>=,30,<=,25-30,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,12,Tableaux n°2/n°5 - Grilles simplifiées rivières,riviere,eaux de rivières,Température,T_EAU,Température,temperature,°C,mauvaise,30,>=,35,<=,30-35,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,12,Tableaux n°2/n°5 - Grilles simplifiées rivières,riviere,eaux de rivières,Température,T_EAU,Température,temperature,°C,tres_mauvaise,35,>=,40,<=,35-40,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,12,Tableaux n°2/n°5 - Grilles simplifiées rivières,riviere,eaux de rivières,pH,PH,pH,acidification,,excellente,6.5,>=,8.5,<=,"6,5-8,5",bleu,80,100,moyenne,tableau simplifié avec cellules vides pour certaines classes
