parametre,ambiguite,tables,volume,exemples_valeurs,question_metier,priorite
TA_°F,libellé composé ou unité intégrée,idp_2024_mesures_qualite_globale,32,0,quel libellé officiel et quelle unité retenir ?,Élevée
TH,code court ou famille à valider; abréviation non explicitée,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,2743,"47,49500998 | 22,5 | 0",quel libellé officiel et quelle unité retenir ?,Élevée
T_Air,plusieurs variantes probables,mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,5033,30.6 | 8.22 | 37,quel libellé officiel et quelle unité retenir ?,Élevée
T_air,plusieurs variantes probables,suivi_qualite_brg_garde_hebdo | suivi_qualite_sebou_jr,4754,13 | 28,quel libellé officiel et quelle unité retenir ?,Élevée
T_eau,plusieurs variantes probables,mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | suivi_qualite_sebou_jr | types_mesures,9828,16 | 10.9 | 33.9,quel libellé officiel et quelle unité retenir ?,Élevée
Tl,abréviation non explicitée,idp_2024_mesures_qualite_globale,14,"<0,010",quel libellé officiel et quelle unité retenir ?,Élevée
Turbidite,plusieurs variantes probables,mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,1997,8 | 0 | 40.4,quel libellé officiel et quelle unité retenir ?,Élevée
Turbidité,plusieurs variantes probables,suivi_qualite_sebou_jr,4572,247,quel libellé officiel et quelle unité retenir ?,Élevée
V,abréviation non explicitée,idp_2024_mesures_qualite_globale,42,"<0,005",quel libellé officiel et quelle unité retenir ?,Élevée
Vanadium(mg/l),libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,0.01,quel libellé officiel et quelle unité retenir ?,Élevée
Zinc,plusieurs variantes probables; abréviation non explicitée,idp_2024_mesures_qualite_marche_cadre,8,"<0,010",quel libellé officiel et quelle unité retenir ?,Élevée
Zinc(mg/l),plusieurs variantes probables; libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,0.0167,quel libellé officiel et quelle unité retenir ?,Élevée
Zn,abréviation non explicitée,idp_2024_mesures_qualite_globale | mesures_qualite_nappes | mesures_qualite_rivieres,280,"<0,00025 | 0.01 | 0",quel libellé officiel et quelle unité retenir ?,Élevée
cond_20_c,plusieurs variantes probables,idp_2024_src_pollution_globale | idp_2024_src_pollution_marche_cadre,391,34000 | 1070,quel libellé officiel et quelle unité retenir ?,Élevée
debit,plusieurs variantes probables,mesures_debit_sources,2816,537,quel libellé officiel et quelle unité retenir ?,Élevée
debit_jr,plusieurs variantes probables,mesures_debit_jr,521433,-1,quel libellé officiel et quelle unité retenir ?,Élevée
debit_l_s,plusieurs variantes probables,rejets_domestiques_abhs,362,12,quel libellé officiel et quelle unité retenir ?,Élevée
debit_m,plusieurs variantes probables,mesures_debit_m,19316,1.267579233,quel libellé officiel et quelle unité retenir ?,Élevée
dist_pt_eau_foyer_pollut_m,code court ou famille à valider; plusieurs variantes probables,points_eau_abhs,46,340,quel libellé officiel et quelle unité retenir ?,Critique
indice de phénol M:A,plusieurs variantes probables,idp_2024_mesures_qualite_marche_cadre,27,,quel libellé officiel et quelle unité retenir ?,Élevée
o2_dissous,plusieurs variantes probables,idp_2024_src_pollution_globale | idp_2024_src_pollution_marche_cadre,391,10.04 | 5.81,quel libellé officiel et quelle unité retenir ?,Élevée
pH,plusieurs variantes probables,suivi_qualite_brg_garde_hebdo | suivi_qualite_sebou_jr,4754,8.32 | 7.81,quel libellé officiel et quelle unité retenir ?,Élevée
pH au laboratoire,plusieurs variantes probables,idp_2024_mesures_qualite_marche_cadre,7,(*) Interférence probable des ions chlorures sur l'analyse de la DCO.,quel libellé officiel et quelle unité retenir ?,Élevée
ph,plusieurs variantes probables,idp_2024_src_pollution_globale | idp_2024_src_pollution_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,5457,7.7 | 8 | 8.22,quel libellé officiel et quelle unité retenir ?,Élevée
phenol,plusieurs variantes probables,mesures_qualite_barrages,2,0.02,quel libellé officiel et quelle unité retenir ?,Élevée
sat,code court ou famille à valider; abréviation non explicitée,mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,1221,98.8 | 0 | 89.5,quel libellé officiel et quelle unité retenir ?,Critique
"somme
anions_meq/l",libellé composé ou unité intégrée,idp_2024_mesures_qualite_marche_cadre,89,"42,49323835",quel libellé officiel et quelle unité retenir ?,Élevée
"somme
anions_meq/l3",libellé composé ou unité intégrée,idp_2024_mesures_qualite_globale,28,"11,79167542",quel libellé officiel et quelle unité retenir ?,Élevée
"somme
anions_mg/l",libellé composé ou unité intégrée,idp_2024_mesures_qualite_marche_cadre,89,"242,982",quel libellé officiel et quelle unité retenir ?,Élevée
"somme
anions_mg/l4",libellé composé ou unité intégrée,idp_2024_mesures_qualite_globale,28,"101,95",quel libellé officiel et quelle unité retenir ?,Élevée
sup_tot_ha,code court ou famille à valider; plusieurs variantes probables,decharges_abhs,233,0.06,quel libellé officiel et quelle unité retenir ?,Critique
surface_km2,plusieurs variantes probables,bathymetries_barrages_abhs,62359,5.083,quel libellé officiel et quelle unité retenir ?,Élevée
t_air,plusieurs variantes probables,idp_2024_src_pollution_globale | idp_2024_src_pollution_marche_cadre,391,12 | 10,quel libellé officiel et quelle unité retenir ?,Élevée
t_eau,plusieurs variantes probables,idp_2024_src_pollution_globale | idp_2024_src_pollution_marche_cadre,391,23.6 | 19.5,quel libellé officiel et quelle unité retenir ?,Élevée
turbidite,plusieurs variantes probables,idp_2024_src_pollution_globale | idp_2024_src_pollution_marche_cadre,391,176 | 155,quel libellé officiel et quelle unité retenir ?,Élevée
