table_source,pts_prelevement_original,pts_prelevement_normalise,occurrence,exemples
staging.raw_idp_2024_mesures_qualite_globale,REJET R1 EP (R1: SHZ-DOM2-R1),rejet r1 ep r1 shz dom2 r1,3,REJET R1 EP (R1: SHZ-DOM2-R1)
staging.raw_idp_2024_mesures_qualite_globale,REJET R11 EP (R11: NTR-DOM-R1),rejet r11 ep r11 ntr dom r1,3,REJET R11 EP (R11: NTR-DOM-R1)
staging.raw_idp_2024_mesures_qualite_globale,REJET R12 EP (R12: MBK-DOM-R2),rejet r12 ep r12 mbk dom r2,3,REJET R12 EP (R12: MBK-DOM-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R2 EP  (R2: SHZ-DOM2-R2),rejet r2 ep r2 shz dom2 r2,3,REJET R2 EP  (R2: SHZ-DOM2-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R3 EP  (R3: SHZ-DOM1-R1),rejet r3 ep r3 shz dom1 r1,3,REJET R3 EP  (R3: SHZ-DOM1-R1)
staging.raw_idp_2024_mesures_qualite_globale,REJET R4 EP (R4: SHZ-DOM3-R2),rejet r4 ep r4 shz dom3 r2,3,REJET R4 EP (R4: SHZ-DOM3-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R5 EP (R5: LOD-DOM-R2),rejet r5 ep r5 lod dom r2,3,REJET R5 EP (R5: LOD-DOM-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R6 EP  (R6: ORG-DOM-R3),rejet r6 ep r6 org dom r3,3,REJET R6 EP  (R6: ORG-DOM-R3)
staging.raw_idp_2024_mesures_qualite_globale,REJET R7 EP  (R7: JEM-DOM-R2),rejet r7 ep r7 jem dom r2,3,REJET R7 EP  (R7: JEM-DOM-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R8 EP (R8: LMJ-DOM-R1),rejet r8 ep r8 lmj dom r1,3,REJET R8 EP (R8: LMJ-DOM-R1)
staging.raw_idp_2024_mesures_qualite_globale,REJET R9 EP (R9: TRL-DOM-R1),rejet r9 ep r9 trl dom r1,3,REJET R9 EP (R9: TRL-DOM-R1)
staging.raw_idp_2024_mesures_qualite_globale, REJET R10 (R10: KNH-DOM-R1),rejet r10 r10 knh dom r1,1, REJET R10 (R10: KNH-DOM-R1)
staging.raw_idp_2024_mesures_qualite_globale, REJET R11 (R11: NTR-DOM-R1),rejet r11 r11 ntr dom r1,1, REJET R11 (R11: NTR-DOM-R1)
staging.raw_idp_2024_mesures_qualite_globale, REJET R12 (R12: MBK-DOM-R2),rejet r12 r12 mbk dom r2,1, REJET R12 (R12: MBK-DOM-R2)
staging.raw_idp_2024_mesures_qualite_globale, REJET R4  (R4: SHZ-DOM3-R2),rejet r4 r4 shz dom3 r2,1, REJET R4  (R4: SHZ-DOM3-R2)
staging.raw_idp_2024_mesures_qualite_globale, REJET R6 (R6: ORG-DOM-R3),rejet r6 r6 org dom r3,1, REJET R6 (R6: ORG-DOM-R3)
staging.raw_idp_2024_mesures_qualite_globale,REJET R1 (R1: SHZ-DOM2-R1),rejet r1 r1 shz dom2 r1,1,REJET R1 (R1: SHZ-DOM2-R1)
staging.raw_idp_2024_mesures_qualite_globale,REJET R2 (R2: SHZ-DOM2-R2),rejet r2 r2 shz dom2 r2,1,REJET R2 (R2: SHZ-DOM2-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R3  (R3: SHZ-DOM1-R1),rejet r3 r3 shz dom1 r1,1,REJET R3  (R3: SHZ-DOM1-R1)
staging.raw_idp_2024_mesures_qualite_globale,REJET R5 (R5: LOD-DOM-R2),rejet r5 r5 lod dom r2,1,REJET R5 (R5: LOD-DOM-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R7 (R7: JEM-DOM-R2),rejet r7 r7 jem dom r2,1,REJET R7 (R7: JEM-DOM-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R9 (R9: TRL-DOM-R1),rejet r9 r9 trl dom r1,1,REJET R9 (R9: TRL-DOM-R1)
staging.raw_idp_2024_mesures_qualite_marche_cadre,PONT KHENICHET,pont khenichet,52,PONT KHENICHET
staging.raw_idp_2024_mesures_qualite_marche_cadre,AMONT KENITRA,amont kenitra,50,AMONT KENITRA
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL REJET MEKNES,aval rejet meknes,50,AVAL REJET MEKNES
staging.raw_idp_2024_mesures_qualite_marche_cadre,POINT RP1 AVAL TAZA,point rp1 aval taza,50,POINT RP1 AVAL TAZA
staging.raw_idp_2024_mesures_qualite_marche_cadre,STATION DAR EL ARSA,station dar el arsa,50,STATION DAR EL ARSA
staging.raw_idp_2024_mesures_qualite_marche_cadre,STATION AZIB SOLTANE,station azib soltane,48,STATION AZIB SOLTANE
staging.raw_idp_2024_mesures_qualite_marche_cadre,STATION PONT MECHRAA BEL KSIRI,station pont mechraa bel ksiri,48,STATION PONT MECHRAA BEL KSIRI
staging.raw_idp_2024_mesures_qualite_marche_cadre,AMONT BARRAGE DE GARDE,amont barrage de garde,46,AMONT BARRAGE DE GARDE
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP EL HAJEB,aval step el hajeb,42,AVAL STEP EL HAJEB
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP IMOUZZER MARMOUCHA,aval step imouzzer marmoucha,42,AVAL STEP IMOUZZER MARMOUCHA
staging.raw_idp_2024_mesures_qualite_marche_cadre,STATION BAB MARZOUKA,station bab marzouka,40,STATION BAB MARZOUKA
staging.raw_idp_2024_mesures_qualite_marche_cadre,AMONT STEP KENITRA,amont step kenitra,39,AMONT STEP KENITRA
staging.raw_idp_2024_mesures_qualite_marche_cadre,AMONT STEP KHEMISSET ,amont step khemisset,39,AMONT STEP KHEMISSET 
staging.raw_idp_2024_mesures_qualite_marche_cadre,AMONT STEP MECHRAA BEL KSIRI,amont step mechraa bel ksiri,39,AMONT STEP MECHRAA BEL KSIRI
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL REJET TIFELT,aval rejet tifelt,39,AVAL REJET TIFELT
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP AZROU,aval step azrou,39,AVAL STEP AZROU
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP FES,aval step fes,39,AVAL STEP FES
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP IFRANE,aval step ifrane,39,AVAL STEP IFRANE
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP KARIAT BA MOHAMED,aval step kariat ba mohamed,39,AVAL STEP KARIAT BA MOHAMED
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP KHEMISSET ,aval step khemisset,39,AVAL STEP KHEMISSET 
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP MECHRAA BEL KSIRI,aval step mechraa bel ksiri,39,AVAL STEP MECHRAA BEL KSIRI
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP SIDI KACEM,aval step sidi kacem,39,AVAL STEP SIDI KACEM
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP SIDI YAHYA EL GHARB,aval step sidi yahya el gharb,39,AVAL STEP SIDI YAHYA EL GHARB
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP TAHLA,aval step tahla,39,AVAL STEP TAHLA
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP TAOUNATE,aval step taounate,39,AVAL STEP TAOUNATE
staging.raw_idp_2024_mesures_qualite_marche_cadre,STATION AVAL GHAFSAI,station aval ghafsai,39,STATION AVAL GHAFSAI
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL STEP SIDI SLIMANE,aval step sidi slimane,38,AVAL STEP SIDI SLIMANE
staging.raw_idp_2024_mesures_qualite_marche_cadre,PT RP 21 (OUED BOUFEKRANE),pt rp 21 oued boufekrane,38,PT RP 21 (OUED BOUFEKRANE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,AMONT STEP TAOUNATE,amont step taounate,37,AMONT STEP TAOUNATE
staging.raw_idp_2024_mesures_qualite_marche_cadre,PONT RS 302,pont rs 302,37,PONT RS 302
staging.raw_idp_2024_mesures_qualite_marche_cadre,SIDI MOKHFI,sidi mokhfi,37,SIDI MOKHFI
staging.raw_idp_2024_mesures_qualite_marche_cadre,AVAL CONFLUENCE SEBOU-RDAT,aval confluence sebou rdat,36,AVAL CONFLUENCE SEBOU-RDAT
staging.raw_idp_2024_mesures_qualite_marche_cadre,PONT KROUMAN,pont krouman,36,PONT KROUMAN
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE DOMAINE JAWHARA,forage domaine jawhara,35,FORAGE DOMAINE JAWHARA
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS BEN SMIME,puits ben smime,35,PUITS BEN SMIME
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS FERME BENNANI,puits ferme bennani,35,PUITS FERME BENNANI
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS KHLIFI RAMOU,puits khlifi ramou,35,PUITS KHLIFI RAMOU
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS MOHAMED CHEHYMA,puits mohamed chehyma,35,PUITS MOHAMED CHEHYMA
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS SOUK EL HAD (GHAFSAI),puits souk el had ghafsai,35,PUITS SOUK EL HAD (GHAFSAI)
staging.raw_idp_2024_mesures_qualite_marche_cadre,SOURCE ABATTOIR,source abattoir,35,SOURCE ABATTOIR
staging.raw_idp_2024_mesures_qualite_marche_cadre,FOUM KHNEG,foum khneg,34,FOUM KHNEG
staging.raw_idp_2024_mesures_qualite_marche_cadre,PONT PORTUGAIS,pont portugais,34,PONT PORTUGAIS
staging.raw_idp_2024_mesures_qualite_marche_cadre,SOURCE AMMES DECHQUONDA ,source ammes dechquonda,34,SOURCE AMMES DECHQUONDA 
staging.raw_idp_2024_mesures_qualite_marche_cadre,STATION BAB OUENDER,station bab ouender,34,STATION BAB OUENDER
staging.raw_idp_2024_mesures_qualite_marche_cadre,STATION HAJRIA,station hajria,34,STATION HAJRIA
staging.raw_idp_2024_mesures_qualite_marche_cadre,STATION HAMMAM,station hammam,34,STATION HAMMAM
staging.raw_idp_2024_mesures_qualite_marche_cadre,STATION RP 26,station rp 26,34,STATION RP 26
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE ABD NBI BOUTABEQ,forage abd nbi boutabeq,32,FORAGE ABD NBI BOUTABEQ
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE AFAQFAQ,forage afaqfaq,32,FORAGE AFAQFAQ
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE AHMED GHARAS,forage ahmed gharas,32,FORAGE AHMED GHARAS
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE ATTO MILOUD,forage atto miloud,32,FORAGE ATTO MILOUD
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE BARRAGE DE GARDE,forage barrage de garde,32,FORAGE BARRAGE DE GARDE
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE FERME HADDADI ,forage ferme haddadi,32,FORAGE FERME HADDADI 
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE FERME HAJ MOUHCINE ,forage ferme haj mouhcine,32,FORAGE FERME HAJ MOUHCINE 
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE FERME ZNAIBER,forage ferme znaiber,32,FORAGE FERME ZNAIBER
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE HUILERIE TALAA,forage huilerie talaa,32,FORAGE HUILERIE TALAA
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE ONEP BEN AOUDA,forage onep ben aouda,32,FORAGE ONEP BEN AOUDA
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE ONEP KSAIBIA,forage onep ksaibia,32,FORAGE ONEP KSAIBIA
staging.raw_idp_2024_mesures_qualite_marche_cadre,FORAGE SOCHATOUR,forage sochatour,32,FORAGE SOCHATOUR
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS AHMED JIRRARI,puits ahmed jirrari,32,PUITS AHMED JIRRARI
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS AIN ASSOU,puits ain assou,32,PUITS AIN ASSOU
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS AIT YADINE,puits ait yadine,32,PUITS AIT YADINE
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS AVAL BOULEMANE,puits aval boulemane,32,PUITS AVAL BOULEMANE
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS BACHEKAR HASSAN,puits bachekar hassan,32,PUITS BACHEKAR HASSAN
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS BADIA SAHLI,puits badia sahli,32,PUITS BADIA SAHLI
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS BRIQUETERIE,puits briqueterie,32,PUITS BRIQUETERIE
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS DAR BEL GHAZI,puits dar bel ghazi,32,PUITS DAR BEL GHAZI
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS DOUAR BEL KOURA,puits douar bel koura,32,PUITS DOUAR BEL KOURA
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS DOUAR OUERSEFAN,puits douar ouersefan,32,PUITS DOUAR OUERSEFAN
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS FERME BEN ALI (NOUVEAU) ,puits ferme ben ali nouveau,32,PUITS FERME BEN ALI (NOUVEAU) 
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS FERME ZNIBER SADEK,puits ferme zniber sadek,32,PUITS FERME ZNIBER SADEK
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS FOURRIERE,puits fourriere,32,PUITS FOURRIERE
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS GHOUAZI OUAZZAA,puits ghouazi ouazzaa,32,PUITS GHOUAZI OUAZZAA
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS HABRI HADOU ,puits habri hadou,32,PUITS HABRI HADOU 
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS HRICHMANE,puits hrichmane,32,PUITS HRICHMANE
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS KBIR BOUTARTA,puits kbir boutarta,32,PUITS KBIR BOUTARTA
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS LABYAR (AIN DORRIJ),puits labyar ain dorrij,32,PUITS LABYAR (AIN DORRIJ)
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS LAZZOU ABD WAHD,puits lazzou abd wahd,32,PUITS LAZZOU ABD WAHD
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS LHAMMANI BRAHIM,puits lhammani brahim,32,PUITS LHAMMANI BRAHIM
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS LOUTFI BENKAMLEH,puits loutfi benkamleh,32,PUITS LOUTFI BENKAMLEH
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS MANSOUR CHERINI,puits mansour cherini,32,PUITS MANSOUR CHERINI
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS MOHAMED HASSANI,puits mohamed hassani,32,PUITS MOHAMED HASSANI
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS ONEP AIN AICHA,puits onep ain aicha,32,PUITS ONEP AIN AICHA
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS ONEP GUIGUO,puits onep guiguo,32,PUITS ONEP GUIGUO
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS RAS TABOUDA,puits ras tabouda,32,PUITS RAS TABOUDA
staging.raw_idp_2024_mesures_qualite_marche_cadre,PUITS STATION DAR SALEM,puits station dar salem,32,PUITS STATION DAR SALEM
staging.raw_idp_2024_mesures_qualite_marche_cadre,SOURCE AKBOUB ,source akboub,32,SOURCE AKBOUB 
staging.raw_idp_2024_mesures_qualite_marche_cadre,SOURCE MASSEGAL,source massegal,32,SOURCE MASSEGAL
staging.raw_idp_2024_mesures_qualite_marche_cadre,SOURCE RAS EL AIN,source ras el ain,32,SOURCE RAS EL AIN
staging.raw_idp_2024_mesures_qualite_marche_cadre,DAYAT FOUARATE,dayat fouarate,14,DAYAT FOUARATE
staging.raw_idp_2024_mesures_qualite_marche_cadre,DAYAT SIDI BOUGHABA,dayat sidi boughaba,14,DAYAT SIDI BOUGHABA
staging.raw_idp_2024_mesures_qualite_marche_cadre,LAGUNE MERJA ZARGA (SURFACE),lagune merja zarga surface,12,LAGUNE MERJA ZARGA (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE ALLAL EL FASSI (FOND),barrage allal el fassi fond,11,BARRAGE ALLAL EL FASSI (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE ALLAL EL FASSI (MILIEU),barrage allal el fassi milieu,11,BARRAGE ALLAL EL FASSI (MILIEU)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE ALLAL EL FASSI (SURFACE),barrage allal el fassi surface,11,BARRAGE ALLAL EL FASSI (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE ASFALOU (FOND),barrage asfalou fond,11,BARRAGE ASFALOU (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE ASFALOU (MILIEU),barrage asfalou milieu,11,BARRAGE ASFALOU (MILIEU)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE ASFALOU (SURFACE),barrage asfalou surface,11,BARRAGE ASFALOU (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE BAB LOUTA (FOND),barrage bab louta fond,11,BARRAGE BAB LOUTA (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE BAB LOUTA (MILIEU),barrage bab louta milieu,11,BARRAGE BAB LOUTA (MILIEU)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE BAB LOUTA (SURFACE),barrage bab louta surface,11,BARRAGE BAB LOUTA (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE BOUHOUDA (FOND),barrage bouhouda fond,11,BARRAGE BOUHOUDA (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE BOUHOUDA (MILIEU),barrage bouhouda milieu,11,BARRAGE BOUHOUDA (MILIEU)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE BOUHOUDA (SURFACE),barrage bouhouda surface,11,BARRAGE BOUHOUDA (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE DE GARDE  (FOND),barrage de garde fond,11,BARRAGE DE GARDE  (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE DE GARDE  (SURFACE),barrage de garde surface,11,BARRAGE DE GARDE  (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE EL KANSRA (FOND),barrage el kansra fond,11,BARRAGE EL KANSRA (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE EL KANSRA (MILIEU),barrage el kansra milieu,11,BARRAGE EL KANSRA (MILIEU)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE EL KANSRA (SURFACE),barrage el kansra surface,11,BARRAGE EL KANSRA (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE EL WAHDA (FOND),barrage el wahda fond,11,BARRAGE EL WAHDA (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE EL WAHDA (MILIEU),barrage el wahda milieu,11,BARRAGE EL WAHDA (MILIEU)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE EL WAHDA (SURFACE),barrage el wahda surface,11,BARRAGE EL WAHDA (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE IDRISS 1ER (FOND),barrage idriss 1er fond,11,BARRAGE IDRISS 1ER (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE IDRISS 1ER (MILIEU),barrage idriss 1er milieu,11,BARRAGE IDRISS 1ER (MILIEU)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE IDRISS 1ER (SURFACE),barrage idriss 1er surface,11,BARRAGE IDRISS 1ER (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE M'DEZ (FOND),barrage m dez fond,11,BARRAGE M'DEZ (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE M'DEZ (MILIEU),barrage m dez milieu,11,BARRAGE M'DEZ (MILIEU)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE M'DEZ (SURFACE),barrage m dez surface,11,BARRAGE M'DEZ (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE OULJET SOLTANE (FOND),barrage ouljet soltane fond,11,BARRAGE OULJET SOLTANE (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE OULJET SOLTANE (MILIEU),barrage ouljet soltane milieu,11,BARRAGE OULJET SOLTANE (MILIEU)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE OULJET SOLTANE (SURFACE),barrage ouljet soltane surface,11,BARRAGE OULJET SOLTANE (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE SAHLA (FOND),barrage sahla fond,11,BARRAGE SAHLA (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE SAHLA (MILIEU),barrage sahla milieu,11,BARRAGE SAHLA (MILIEU)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE SAHLA (SURFACE),barrage sahla surface,11,BARRAGE SAHLA (SURFACE)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE SIDI ECHAHED (FOND),barrage sidi echahed fond,11,BARRAGE SIDI ECHAHED (FOND)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE SIDI ECHAHED (MILIEU),barrage sidi echahed milieu,11,BARRAGE SIDI ECHAHED (MILIEU)
staging.raw_idp_2024_mesures_qualite_marche_cadre,BARRAGE SIDI ECHAHED (SURFACE),barrage sidi echahed surface,11,BARRAGE SIDI ECHAHED (SURFACE)
staging.raw_idp_2024_src_pollution_globale, REJET R1 (R1: SHZ-DOM2-R1),rejet r1 r1 shz dom2 r1,1, REJET R1 (R1: SHZ-DOM2-R1)
staging.raw_idp_2024_src_pollution_globale, REJET R10 (R10: KNH-DOM-R1),rejet r10 r10 knh dom r1,1, REJET R10 (R10: KNH-DOM-R1)
staging.raw_idp_2024_src_pollution_globale, REJET R10 EM (R10: KNH-DOM-R1),rejet r10 em r10 knh dom r1,1, REJET R10 EM (R10: KNH-DOM-R1)
staging.raw_idp_2024_src_pollution_globale, REJET R10 EP (R10: KNH-DOM-R1),rejet r10 ep r10 knh dom r1,1, REJET R10 EP (R10: KNH-DOM-R1)
staging.raw_idp_2024_src_pollution_globale, REJET R11 (R11: NTR-DOM-R1),rejet r11 r11 ntr dom r1,1, REJET R11 (R11: NTR-DOM-R1)
staging.raw_idp_2024_src_pollution_globale, REJET R12 (R12: MBK-DOM-R2),rejet r12 r12 mbk dom r2,1, REJET R12 (R12: MBK-DOM-R2)
staging.raw_idp_2024_src_pollution_globale, REJET R12 EM (R12: MBK-DOM-R2),rejet r12 em r12 mbk dom r2,1, REJET R12 EM (R12: MBK-DOM-R2)
staging.raw_idp_2024_src_pollution_globale, REJET R12 EP (R12: MBK-DOM-R2),rejet r12 ep r12 mbk dom r2,1, REJET R12 EP (R12: MBK-DOM-R2)
staging.raw_idp_2024_src_pollution_globale, REJET R4  (R4: SHZ-DOM3-R2),rejet r4 r4 shz dom3 r2,1, REJET R4  (R4: SHZ-DOM3-R2)
staging.raw_idp_2024_src_pollution_globale, REJET R6 (R6: ORG-DOM-R3),rejet r6 r6 org dom r3,1, REJET R6 (R6: ORG-DOM-R3)
staging.raw_idp_2024_src_pollution_globale, REJET R8  (R8: LMJ-DOM-R1),rejet r8 r8 lmj dom r1,1, REJET R8  (R8: LMJ-DOM-R1)
staging.raw_idp_2024_src_pollution_globale, REJET R9 (R9: TRL-DOM-R1),rejet r9 r9 trl dom r1,1, REJET R9 (R9: TRL-DOM-R1)
staging.raw_idp_2024_src_pollution_globale,AAZ_DOM1_R1,aaz dom1 r1,1,AAZ_DOM1_R1
staging.raw_idp_2024_src_pollution_globale,ACH_PDE(PUITS CARRIERE),ach pde puits carriere,1,ACH_PDE(PUITS CARRIERE)
staging.raw_idp_2024_src_pollution_globale,ACH_PDS_R1,ach pds r1,1,ACH_PDS_R1
staging.raw_idp_2024_src_pollution_globale,ACH_PDS_R5,ach pds r5,1,ACH_PDS_R5
staging.raw_idp_2024_src_pollution_globale,AGR_DECH_PE (AIN FERDI),agr dech pe ain ferdi,1,AGR_DECH_PE (AIN FERDI)
staging.raw_idp_2024_src_pollution_globale,AID_DOM1_R4,aid dom1 r4,1,AID_DOM1_R4
staging.raw_idp_2024_src_pollution_globale,AID_DOM1_R4 (AIN DFALI),aid dom1 r4 ain dfali,1,AID_DOM1_R4 (AIN DFALI)
staging.raw_idp_2024_src_pollution_globale,AKA_DOM_R1,aka dom r1,1,AKA_DOM_R1
staging.raw_idp_2024_src_pollution_globale,AKA_PDOM1_R1,aka pdom1 r1,1,AKA_PDOM1_R1
staging.raw_idp_2024_src_pollution_globale,ALH_PDOM1_PE1 (LAHCEN BIZIZI),alh pdom1 pe1 lahcen bizizi,1,ALH_PDOM1_PE1 (LAHCEN BIZIZI)
staging.raw_idp_2024_src_pollution_globale,ALH_PDOM1_R4 (E.M),alh pdom1 r4 e m,1,ALH_PDOM1_R4 (E.M)
staging.raw_idp_2024_src_pollution_globale,AMONT SEFROU,amont sefrou,1,AMONT SEFROU
staging.raw_idp_2024_src_pollution_globale,AMONT SOUK ELAHAD CHEBANATE,amont souk elahad chebanate,1,AMONT SOUK ELAHAD CHEBANATE
staging.raw_idp_2024_src_pollution_globale,AMONT STEP El Hajeb,amont step el hajeb,1,AMONT STEP El Hajeb
staging.raw_idp_2024_src_pollution_globale,Amont STEP Khémisset ,amont step khemisset,1,Amont STEP Khémisset 
staging.raw_idp_2024_src_pollution_globale,AMONT STEP OUED AMLIL,amont step oued amlil,1,AMONT STEP OUED AMLIL
staging.raw_idp_2024_src_pollution_globale,Amont STEP Taounate,amont step taounate,1,Amont STEP Taounate
staging.raw_idp_2024_src_pollution_globale,ARB_DECH1_PE1 (AIN LABROUAL),arb dech1 pe1 ain labroual,1,ARB_DECH1_PE1 (AIN LABROUAL)
staging.raw_idp_2024_src_pollution_globale,ATJ_DECH_PE1 ,atj dech pe1,1,ATJ_DECH_PE1 
staging.raw_idp_2024_src_pollution_globale,AVAL AIN DFALI,aval ain dfali,1,AVAL AIN DFALI
staging.raw_idp_2024_src_pollution_globale,AVAL AIN KARMA,aval ain karma,1,AVAL AIN KARMA
staging.raw_idp_2024_src_pollution_globale,AVAL AIN LEUH,aval ain leuh,1,AVAL AIN LEUH
staging.raw_idp_2024_src_pollution_globale,AVAL BOULEMANE,aval boulemane,1,AVAL BOULEMANE
staging.raw_idp_2024_src_pollution_globale,AVAL OUED IFRANE,aval oued ifrane,1,AVAL OUED IFRANE
staging.raw_idp_2024_src_pollution_globale,AVAL REJET AIN CHEGGAG,aval rejet ain cheggag,1,AVAL REJET AIN CHEGGAG
staging.raw_idp_2024_src_pollution_globale,AVAL REJET BOUFEKRANE,aval rejet boufekrane,1,AVAL REJET BOUFEKRANE
staging.raw_idp_2024_src_pollution_globale,AVAL REJET EL MENZEL,aval rejet el menzel,1,AVAL REJET EL MENZEL
